word	frequency	pos
the	67	0
solitaire	63	1
.	42	2
,	39	3
to	34	4
a	27	5
of	26	6
game	24	7
and	22	8
cards	21	9
you	18	10
in	17	11
is	16	12
card	16	13
turn	15	14
games	14	15
be	14	16
:	13	17
on	12	18
or	12	19
one	11	20
can	11	21
?	11	22
your	10	23
's	10	24
-	10	25
are	9	26
all	9	27
1	9	28
easy	9	29
play	9	30
as	9	31
it	8	32
for	8	33
have	8	34
pile	7	35
that	7	36
an	7	37
from	6	38
new	6	39
about	6	40
could	6	41
spider	6	42
with	6	43
out	5	44
how	5	45
eight	5	46
patience	5	47
!	5	48
king	5	49
move	5	50
bliss	5	51
3	4	52
2	4	53
if	4	54
only	4	55
stock	4	56
each	4	57
top	4	58
deal	4	59
will	4	60
numbered	4	61
moved	4	62
use	4	63
do	4	64
freecell	4	65
)	4	66
(	4	67
us	4	68
may	4	69
password	4	70
place	3	71
klondike	3	72
click	3	73
waste	3	74
also	3	75
scorpion	3	76
by	3	77
win	3	78
help	3	79
[	3	80
]	3	81
empty	3	82
there	3	83
them	3	84
statistics	3	85
qr	3	86
possible	3	87
was	3	88
pyramid	3	89
''	3	90
``	3	91
first	3	92
set	3	93
tri	3	94
name	3	95
golf	3	96
n't	3	97
thieves	3	98
forty	3	99
user	3	100
australian	3	101
deck	3	102
make	3	103
more	3	104
winning	3	105
some	3	106
row	3	107
four	3	108
free	3	109
suits	3	110
aces	3	111
every	3	112
would	3	113
so	3	114
up	3	115
classic	3	116
foundations	3	117
4	3	118
especially	3	119
login	3	120
options	3	121
daily	3	122
variations	3	123
they	2	124
close	2	125
versions	2	126
here	2	127
tableau	2	128
after	2	129
order	2	130
foundation	2	131
into	2	132
open	2	133
piles	2	134
simple	2	135
build	2	136
already	2	137
number	2	138
term	2	139
winnable	2	140
larger	2	141
goal	2	142
zoom	2	143
even	2	144
solitairespider	2	145
28	2	146
color	2	147
many	2	148
soon	2	149
sequences	2	150
become	2	151
best	2	152
due	2	153
form	2	154
1.	2	155
think	2	156
back	2	157
take	2	158
rest	2	159
originated	2	160
others	2	161
this	2	162
however	2	163
playing	2	164
2.	2	165
most	2	166
stacks	2	167
than	2	168
3.	2	169
;	2	170
when	2	171
no	2	172
undo	2	173
rules	2	174
mobile	2	175
share	2	176
yukon	2	177
off	2	178
register	2	179
account	2	180
check	2	181
challenges	2	182
solitairepyramid	2	183
double	2	184
policy	2	185
triple	2	186
harp	2	187
email	2	188
--	2	189
browser	2	190
code	2	191
app	2	192
suit	2	193
phone	2	194
three	2	195
guaranteed	2	196
solution	2	197
0	2	198
heart	2	199
built	2	200
ace	2	201
our	2	202
javascript	2	203
ordered	2	204
welcome	2	205
online	2	206
peaks	2	207
moves	2	208
called	1	209
alternative	1	210
undon	1	211
scan	1	212
supported	1	213
england	1	214
germany	1	215
cabale	1	216
caballa	1	217
load	1	218
been	1	219
save	1	220
home	1	221
page	1	222
knowledge	1	223
which	1	224
medieval	1	225
secret	1	226
latin	1	227
meaning	1	228
portugal	1	229
backgrounds	1	230
queen	1	231
since	1	232
find	1	233
z	1	234
nearly	1	235
hold	1	236
android	1	237
microsoft	1	238
computer	1	239
1990	1	240
version	1	241
further	1	242
reader	1	243
we	1	244
visit	1	245
site	1	246
cementing	1	247
its	1	248
camera	1	249
moreover	1	250
victoria	1	251
notably	1	252
menu	1	253
hint	1	254
german	1	255
husband	1	256
00:00	1	257
prince	1	258
albert	1	259
fond	1	260
today	1	261
iphones	1	262
known	1	263
